id,model,connectance_mod,complexity_mod,distance_mod,basal_mod,top_mod,S1_mod,S2_mod,S4_mod,S5_mod
1219,niche,0.06755829903978051,0.9231952613051586,2.0,10.0,5.0,187.0,35.0,181.0,276.0
1219,cascade,0.06154336734693878,0.9344765289175991,3.0,5.0,10.0,397.0,58.0,402.0,326.0
1219,hierarchy,0.056760204081632654,0.9498246455745268,1.0,8.0,0.0,455.0,38.0,209.0,245.0
1219,maxent,0.05644132653061224,0.9225267649012959,3.0,32.0,0.0,60.0,46.0,76.0,506.0
1237,random,0.11012345679012346,0.9346605688023276,1.0,0.0,0.0,495.0,55.0,254.0,236.0
1237,niche,0.09400826446280992,0.8966120217244022,2.0,9.0,1.0,278.0,75.0,335.0,408.0
1237,cascade,0.09481481481481481,0.9299970076215361,3.0,5.0,7.0,475.0,96.0,441.0,365.0
1237,hierarchy,0.10320987654320987,0.922054970538088,1.0,1.0,0.0,498.0,89.0,263.0,304.0
1237,maxent,0.10469135802469136,0.9073943347948413,4.0,20.0,4.0,128.0,199.0,278.0,743.0
1218,random,0.05909576361694553,0.9396058286737812,3.0,3.0,0.0,362.0,22.0,185.0,197.0
1218,niche,0.05420991926182238,0.9341385421733837,2.0,14.0,4.0,170.0,39.0,198.0,304.0
1218,cascade,0.053755784976860094,0.9371733089464099,4.0,10.0,8.0,245.0,27.0,246.0,240.0
1218,hierarchy,0.0530437878248487,0.9533951442984159,2.0,7.0,1.0,350.0,36.0,132.0,182.0
1218,maxent,0.053399786400854396,0.913446947606427,2.0,40.0,0.0,79.0,26.0,32.0,725.0
1235,random,0.0547845142439737,0.9472574231925743,4.0,6.0,7.0,87.0,7.0,49.0,53.0
1235,niche,0.047839506172839504,0.9117695241929646,2.0,18.0,6.0,20.0,10.0,55.0,160.0
1235,cascade,0.06558641975308642,0.9414844419924657,4.0,8.0,9.0,109.0,18.0,124.0,106.0
1235,hierarchy,0.06866325785244703,0.9394885756955272,1.0,6.0,1.0,162.0,14.0,78.0,89.0
1235,maxent,0.0679327976625274,0.9234863953365778,3.0,24.0,1.0,21.0,13.0,12.0,92.0
12,random,0.015734072022160664,0.9768545576237389,3.0,17.0,12.0,190.0,1.0,82.0,89.0
12,niche,0.018765432098765432,0.952614546195165,2.0,39.0,19.0,109.0,7.0,93.0,206.0
12,cascade,0.013059891847770635,0.9710558295413075,7.0,33.0,29.0,89.0,1.0,82.0,102.0
12,hierarchy,0.0148,0.9755726860164153,1.0,16.0,21.0,173.0,2.0,96.0,74.0
12,maxent,0.014704440741103813,0.9280054552495524,2.0,26.0,75.0,0.0,0.0,1523.0,154.0
13,random,0.032395870416518334,0.9569619491583697,4.0,8.0,9.0,101.0,4.0,53.0,42.0
13,niche,0.030820491461890878,0.9537910001025387,2.0,16.0,11.0,67.0,7.0,54.0,93.0
13,cascade,0.029835390946502057,0.9581984468947387,5.0,15.0,12.0,87.0,4.0,92.0,69.0
13,hierarchy,0.03292181069958848,0.968732567970572,1.0,6.0,2.0,120.0,0.0,59.0,50.0
13,maxent,0.03155006858710562,0.9391432416806477,2.0,15.0,39.0,0.0,0.0,401.0,153.0
18,random,0.053497942386831275,0.9515658618448614,1.0,5.0,7.0,21.0,2.0,21.0,10.0
18,niche,0.06377551020408163,0.9237964962203875,2.0,13.0,7.0,39.0,8.0,30.0,75.0
18,cascade,0.04994054696789536,0.962766712006514,3.0,6.0,9.0,33.0,4.0,40.0,24.0
18,hierarchy,0.04399524375743163,0.9649154226476224,1.0,6.0,8.0,30.0,0.0,28.0,15.0
18,maxent,0.04518430439952437,0.92018274141368,2.0,11.0,18.0,0.0,0.0,79.0,47.0
15,random,0.012053571428571429,0.9577761402210986,5.0,16.0,9.0,2842.0,40.0,1419.0,1492.0
15,niche,0.012459435154895802,0.9405476130929366,2.0,85.0,30.0,1790.0,65.0,1746.0,3419.0
15,cascade,0.011964285714285714,0.9514517242836985,6.0,39.0,41.0,1992.0,44.0,2002.0,1887.0
15,hierarchy,0.012040816326530613,0.9599983862577228,1.0,24.0,7.0,2836.0,51.0,1543.0,1522.0
15,maxent,0.01211734693877551,0.9358652109636016,2.0,200.0,80.0,0.0,0.0,4602.0,11547.0
3259,random,0.13,0.9312511755424742,1.0,0.0,1.0,24.0,8.0,14.0,12.0
3259,niche,0.145,0.8931613194127943,2.0,7.0,0.0,22.0,3.0,12.0,31.0
3259,cascade,0.14,0.9148039054129635,3.0,4.0,4.0,74.0,26.0,71.0,68.0
3259,hierarchy,0.1225,0.924517845175425,2.0,3.0,2.0,60.0,11.0,34.0,30.0
3259,maxent,0.125,0.9253798664807809,2.0,3.0,6.0,26.0,22.0,87.0,45.0
908,random,0.03407247160627366,0.9627125236189453,2.0,9.0,9.0,41.0,0.0,23.0,26.0
908,niche,0.044616299821534804,0.9292582530218347,2.0,14.0,10.0,55.0,1.0,54.0,63.0
908,cascade,0.03461330448891293,0.963120048674629,3.0,10.0,15.0,49.0,2.0,57.0,49.0
908,hierarchy,0.035154137371552194,0.973180433558543,1.0,5.0,8.0,73.0,0.0,45.0,29.0
908,maxent,0.03407247160627366,0.9239711698524642,2.0,17.0,26.0,0.0,0.0,188.0,101.0
23,random,0.0657439446366782,0.9744349265283696,2.0,4.0,4.0,16.0,0.0,7.0,7.0
23,niche,0.08203125,0.9405968045901058,2.0,8.0,4.0,2.0,0.0,6.0,31.0
23,cascade,0.0625,0.9746339123539558,4.0,4.0,5.0,9.0,1.0,5.0,4.0
23,hierarchy,0.05864197530864197,0.9669275270438884,2.0,4.0,6.0,14.0,0.0,9.0,5.0
23,maxent,0.055401662049861494,0.9320707528014455,2.0,8.0,11.0,0.0,0.0,31.0,15.0
909,random,0.0176512600755025,0.9706003513147373,2.0,13.0,11.0,224.0,4.0,88.0,102.0
909,niche,0.021729289271163424,0.9458673322584951,1.0,31.0,13.0,269.0,10.0,175.0,316.0
909,cascade,0.021842462652784066,0.9551658986810032,3.0,20.0,25.0,240.0,9.0,270.0,273.0
909,hierarchy,0.0187,0.96914593688492,1.0,12.0,11.0,290.0,1.0,180.0,136.0
909,maxent,0.0192,0.949754113104417,2.0,24.0,76.0,0.0,0.0,1150.0,353.0
946,random,0.035481770833333336,0.950784366212383,6.0,3.0,2.0,883.0,24.0,419.0,427.0
946,niche,0.03508374830239928,0.9157957556209554,2.0,30.0,17.0,456.0,45.0,516.0,1136.0
946,cascade,0.036566840277777776,0.9402816412367867,4.0,15.0,14.0,684.0,57.0,740.0,767.0
946,hierarchy,0.03700086805555555,0.9529310743825573,1.0,10.0,1.0,1067.0,71.0,540.0,554.0
946,maxent,0.03721788194444445,0.9392650472083741,2.0,65.0,31.0,0.0,0.0,1554.0,2226.0
26,random,0.049586776859504134,0.9777721740680535,1.0,6.0,6.0,13.0,0.0,4.0,6.0
26,niche,0.0640495867768595,0.924868960779166,3.0,11.0,3.0,6.0,0.0,4.0,13.0
26,cascade,0.08677685950413223,0.9195156373953511,3.0,6.0,6.0,36.0,6.0,49.0,50.0
26,hierarchy,0.05860113421550094,0.9672582050945634,1.0,4.0,5.0,35.0,0.0,20.0,12.0
26,maxent,0.059027777777777776,0.959414164897029,2.0,4.0,9.0,14.0,2.0,19.0,11.0
27,random,0.015618492294877134,0.969297043344962,1.0,20.0,24.0,190.0,5.0,117.0,105.0
27,niche,0.018393351800554018,0.9541109072725293,2.0,38.0,19.0,165.0,5.0,156.0,310.0
27,cascade,0.013936947327950788,0.9675233720240342,3.0,33.0,31.0,123.0,3.0,131.0,127.0
27,hierarchy,0.013242630385487529,0.9802616851632178,1.0,16.0,19.0,163.0,0.0,80.0,67.0
27,maxent,0.013349946600213599,0.8988845032176853,2.0,9.0,97.0,0.0,0.0,2807.0,95.0
28,random,0.12654320987654322,0.9292883186907975,3.0,2.0,2.0,42.0,4.0,26.0,24.0
